image_name,xmin,xmax,ymin,ymax,class_id
FOTO 2018-01_283.jpg,109,284,153,315,1
FOTO 2018-01_283.jpg,334,489,149,308,1
FOTO 2018-01_2887.jpg,278,361,233,321,1
FOTO 2018-01_2887.jpg,258,363,101,220,1
FOTO 2018-01_2030.jpg,200,298,85,184,1
FOTO 2018-01_2865.jpg,175,328,162,306,1
FOTO 2018-01_2865.jpg,362,512,173,308,1
FOTO 2018-01_2848.jpg,332,488,87,240,1
FOTO 2018-01_2848.jpg,173,311,108,245,1
FOTO 2018-01_2708.jpg,75,250,259,436,1
FOTO 2018-01_2708.jpg,321,489,230,403,1
FOTO 2018-01_2601.jpg,196,294,161,258,1
FOTO 2018-01_2601.jpg,357,463,190,294,1
FOTO 2018-01_4772.jpg,126,292,112,274,1
FOTO 2018-01_4772.jpg,312,473,138,298,1
FOTO 2018-01_4050.jpg,415,597,220,429,1
FOTO 2018-01_4050.jpg,64,323,217,447,1
FOTO 2018-01_2095.jpg,116,288,149,318,1
FOTO 2018-01_2095.jpg,332,510,144,324,1
FOTO 2018-01_2468.jpg,243,421,175,354,1
FOTO 2018-01_2442.jpg,258,490,170,400,1
FOTO 2018-01_3373.jpg,210,343,107,235,1
FOTO 2018-01_397.jpg,347,489,148,291,1
FOTO 2018-01_397.jpg,143,291,93,247,1
FOTO 2018-01_4015.jpg,337,526,211,407,1
FOTO 2018-01_4015.jpg,56,258,200,397,1
FOTO 2018-01_5241.jpg,345,525,89,270,1
FOTO 2018-01_5241.jpg,123,308,53,232,1
FOTO 2018-01_5079.jpg,376,592,205,442,1
FOTO 2018-01_5079.jpg,4,228,194,431,1
FOTO 2018-01_5228.jpg,364,525,285,437,1
FOTO 2018-01_5228.jpg,165,338,283,448,1
FOTO 2018-01_2513.jpg,411,578,121,294,1
FOTO 2018-01_2513.jpg,170,342,118,287,1
FOTO 2018-01_4051.jpg,58,302,218,449,1
FOTO 2018-01_4051.jpg,352,576,215,438,1
FOTO 2018-01_2396.jpg,264,486,174,394,1
FOTO 2018-01_350.jpg,246,447,171,375,1
FOTO 2018-01_4613.jpg,319,438,95,216,1
FOTO 2018-01_4613.jpg,128,250,60,185,1
FOTO 2018-01_4589.jpg,163,288,98,229,1
FOTO 2018-01_4589.jpg,395,547,80,227,1
FOTO 2018-01_3689.jpg,339,530,35,230,1
FOTO 2018-01_3689.jpg,126,315,52,244,1
FOTO 2018-01_2478.jpg,84,259,232,410,1
FOTO 2018-01_2478.jpg,378,562,206,386,1
FOTO 2018-01_2854.jpg,304,451,106,253,1
FOTO 2018-01_2854.jpg,126,274,115,262,1
FOTO 2018-01_4064.jpg,126,331,266,449,1
FOTO 2018-01_4064.jpg,349,569,238,449,1
FOTO 2018-01_3295.jpg,340,547,245,450,1
FOTO 2018-01_3295.jpg,51,273,250,449,1
FOTO 2018-01_4027.jpg,74,305,226,449,1
FOTO 2018-01_4027.jpg,365,595,216,449,1
FOTO 2018-01_3428.jpg,-2,250,76,345,1
FOTO 2018-01_3428.jpg,301,549,100,351,1
FOTO 2018-01_255.jpg,349,572,246,450,1
FOTO 2018-01_255.jpg,34,248,216,419,1
FOTO 2018-01_4139.jpg,384,550,45,210,1
FOTO 2018-01_4139.jpg,170,303,57,202,1
FOTO 2018-01_5227.jpg,148,298,248,404,1
FOTO 2018-01_5227.jpg,374,524,232,388,1
FOTO 2018-01_4874.jpg,377,592,23,232,1
FOTO 2018-01_4874.jpg,117,322,54,266,1
FOTO 2018-01_4569.jpg,319,489,143,308,1
FOTO 2018-01_4569.jpg,104,266,159,326,1
FOTO 2018-01_911.jpg,334,491,51,225,1
FOTO 2018-01_911.jpg,76,254,50,228,1
FOTO 2018-01_3456.jpg,67,255,219,408,1
FOTO 2018-01_3456.jpg,327,518,194,382,1
FOTO 2018-01_577.jpg,68,253,150,323,1
FOTO 2018-01_577.jpg,266,439,90,266,1
FOTO 2018-01_3685.jpg,29,84,0,49,1
FOTO 2018-01_3685.jpg,189,329,218,322,1
FOTO 2018-01_2449.jpg,248,441,175,367,1
FOTO 2018-01_4975.jpg,371,583,68,273,1
FOTO 2018-01_4975.jpg,148,351,51,258,1
FOTO 2018-01_3231.jpg,346,491,157,304,1
FOTO 2018-01_3231.jpg,162,316,160,313,1
FOTO 2018-01_4785.jpg,89,261,119,285,1
FOTO 2018-01_4785.jpg,325,499,128,300,1
FOTO 2018-01_4390.jpg,312,504,28,218,1
FOTO 2018-01_4390.jpg,36,223,16,211,1
FOTO 2018-01_942.jpg,131,302,119,288,1
